,datetime,solar_best_mw,solar_source,source,geo_name,geo_id
89,2021-01-04T17:00:00.000,573.3,P48,best_solar,Península,8741
90,2021-01-04T18:00:00.000,12.5,P48,best_solar,Península,8741
91,2021-01-04T19:00:00.000,0.2,P48,best_solar,Península,8741
92,2021-01-04T20:00:00.000,19.3,P48,best_solar,Península,8741
93,2021-01-04T21:00:00.000,0,Forecast,best_solar,Península,8741
94,2021-01-04T22:00:00.000,0,Forecast,best_solar,Península,8741
95,2021-01-04T23:00:00.000,0,Forecast,best_solar,Península,8741
96,2021-01-05T00:00:00.000,0,Forecast,best_solar,Península,8741
97,2021-01-05T01:00:00.000,0,Forecast,best_solar,Península,8741
98,2021-01-05T02:00:00.000,0,Forecast,best_solar,Península,8741
99,2021-01-05T03:00:00.000,0,Forecast,best_solar,Península,8741
100,2021-01-05T04:00:00.000,0,Forecast,best_solar,Península,8741
101,2021-01-05T05:00:00.000,0,Forecast,best_solar,Península,8741
102,2021-01-05T06:00:00.000,0.5,P48,best_solar,Península,8741
103,2021-01-05T07:00:00.000,4.4,P48,best_solar,Península,8741
104,2021-01-05T08:00:00.000,92.8,P48,best_solar,Península,8741
105,2021-01-05T09:00:00.000,1217.1,P48,best_solar,Península,8741
106,2021-01-05T10:00:00.000,3090,P48,best_solar,Península,8741
107,2021-01-05T11:00:00.000,4411.2,P48,best_solar,Península,8741
108,2021-01-05T12:00:00.000,5010.5,P48,best_solar,Península,8741
109,2021-01-05T13:00:00.000,5097.2,P48,best_solar,Península,8741
110,2021-01-05T14:00:00.000,4897.9,P48,best_solar,Península,8741
111,2021-01-05T15:00:00.000,4146.5,P48,best_solar,Península,8741
112,2021-01-05T16:00:00.000,2573.5,P48,best_solar,Península,8741
113,2021-01-05T17:00:00.000,737.4,P48,best_solar,Península,8741
114,2021-01-05T18:00:00.000,47.2,P48,best_solar,Península,8741
115,2021-01-05T19:00:00.000,33.7,P48,best_solar,Península,8741
116,2021-01-05T20:00:00.000,115.3,P48,best_solar,Península,8741
117,2021-01-05T21:00:00.000,116.8,P48,best_solar,Península,8741
118,2021-01-05T22:00:00.000,9.2,P48,best_solar,Península,8741
119,2021-01-05T23:00:00.000,0.1,P48,best_solar,Península,8741
120,2021-01-06T00:00:00.000,0,Forecast,best_solar,Península,8741
121,2021-01-06T01:00:00.000,0,Forecast,best_solar,Península,8741
122,2021-01-06T02:00:00.000,0,Forecast,best_solar,Península,8741
123,2021-01-06T03:00:00.000,0,Forecast,best_solar,Península,8741
124,2021-01-06T04:00:00.000,0,Forecast,best_solar,Península,8741
125,2021-01-06T05:00:00.000,0,Forecast,best_solar,Península,8741
126,2021-01-06T06:00:00.000,0.5,P48,best_solar,Península,8741
127,2021-01-06T07:00:00.000,4.4,P48,best_solar,Península,8741
128,2021-01-06T08:00:00.000,95.2,P48,best_solar,Península,8741
129,2021-01-06T09:00:00.000,1158.7,P48,best_solar,Península,8741
130,2021-01-06T10:00:00.000,2845.7,P48,best_solar,Península,8741
131,2021-01-06T11:00:00.000,3560.3,P48,best_solar,Península,8741
132,2021-01-06T12:00:00.000,4044,P48,best_solar,Península,8741
133,2021-01-06T13:00:00.000,4023.5,P48,best_solar,Península,8741
134,2021-01-06T14:00:00.000,3705.7,P48,best_solar,Península,8741
135,2021-01-06T15:00:00.000,2945.3,P48,best_solar,Península,8741
136,2021-01-06T16:00:00.000,1643.7,P48,best_solar,Península,8741
137,2021-01-06T17:00:00.000,436.7,P48,best_solar,Península,8741
138,2021-01-06T18:00:00.000,26.4,P48,best_solar,Península,8741
139,2021-01-06T19:00:00.000,16.5,P48,best_solar,Península,8741
140,2021-01-06T20:00:00.000,0.1,P48,best_solar,Península,8741
141,2021-01-06T21:00:00.000,0.3,P48,best_solar,Península,8741
142,2021-01-06T22:00:00.000,0.4,P48,best_solar,Península,8741
143,2021-01-06T23:00:00.000,0,Forecast,best_solar,Península,8741
144,2021-01-07T00:00:00.000,0,Forecast,best_solar,Península,8741
145,2021-01-07T01:00:00.000,0,Forecast,best_solar,Península,8741
146,2021-01-07T02:00:00.000,0,Forecast,best_solar,Península,8741
147,2021-01-07T03:00:00.000,0,Forecast,best_solar,Península,8741
148,2021-01-07T04:00:00.000,0,Forecast,best_solar,Península,8741
149,2021-01-07T05:00:00.000,0,Forecast,best_solar,Península,8741
150,2021-01-07T06:00:00.000,0.5,P48,best_solar,Península,8741
151,2021-01-07T07:00:00.000,4.3,P48,best_solar,Península,8741
152,2021-01-07T08:00:00.000,40.5,P48,best_solar,Península,8741
153,2021-01-07T09:00:00.000,430.6,P48,best_solar,Península,8741
154,2021-01-07T10:00:00.000,1234.8,P48,best_solar,Península,8741
155,2021-01-07T11:00:00.000,1767.5,P48,best_solar,Península,8741
156,2021-01-07T12:00:00.000,1992.3,P48,best_solar,Península,8741
157,2021-01-07T13:00:00.000,2122.1,P48,best_solar,Península,8741
158,2021-01-07T14:00:00.000,1909.6,P48,best_solar,Península,8741
159,2021-01-07T15:00:00.000,1549.9,P48,best_solar,Península,8741
160,2021-01-07T16:00:00.000,1020.9,P48,best_solar,Península,8741
161,2021-01-07T17:00:00.000,331.8,P48,best_solar,Península,8741
162,2021-01-07T18:00:00.000,39.9,P48,best_solar,Península,8741
163,2021-01-07T19:00:00.000,8.6,P48,best_solar,Península,8741
164,2021-01-07T20:00:00.000,82.1,P48,best_solar,Península,8741
165,2021-01-07T21:00:00.000,3.7,P48,best_solar,Península,8741
166,2021-01-07T22:00:00.000,5.4,P48,best_solar,Península,8741
167,2021-01-07T23:00:00.000,0.1,P48,best_solar,Península,8741
168,2021-01-08T00:00:00.000,0,Forecast,best_solar,Península,8741
169,2021-01-08T01:00:00.000,0,Forecast,best_solar,Península,8741
170,2021-01-08T02:00:00.000,0,Forecast,best_solar,Península,8741
171,2021-01-08T03:00:00.000,0.1,P48,best_solar,Península,8741
172,2021-01-08T04:00:00.000,0,Forecast,best_solar,Península,8741
173,2021-01-08T05:00:00.000,0,Forecast,best_solar,Península,8741
174,2021-01-08T06:00:00.000,0,Forecast,best_solar,Península,8741
175,2021-01-08T07:00:00.000,1,P48,best_solar,Península,8741
176,2021-01-08T08:00:00.000,35.2,P48,best_solar,Península,8741
177,2021-01-08T09:00:00.000,359.7,P48,best_solar,Península,8741
178,2021-01-08T10:00:00.000,982.6,P48,best_solar,Península,8741
179,2021-01-08T11:00:00.000,1422,P48,best_solar,Península,8741
180,2021-01-08T12:00:00.000,1335.4,P48,best_solar,Península,8741
181,2021-01-08T13:00:00.000,1331.1,P48,best_solar,Península,8741
182,2021-01-08T14:00:00.000,1164.4,P48,best_solar,Península,8741
183,2021-01-08T15:00:00.000,897.3,P48,best_solar,Península,8741
184,2021-01-08T16:00:00.000,473.6,P48,best_solar,Península,8741
185,2021-01-08T17:00:00.000,119.8,P48,best_solar,Península,8741
186,2021-01-08T18:00:00.000,18,P48,best_solar,Península,8741
187,2021-01-08T19:00:00.000,3.9,P48,best_solar,Península,8741
188,2021-01-08T20:00:00.000,3.8,P48,best_solar,Península,8741
189,2021-01-08T21:00:00.000,3.7,P48,best_solar,Península,8741
